Customer_ID,Purchase_Date,No_of_units_sold,Car_model_year,Price,Customer_Name,Email,Gender,City,Car_Make,Country,Country_Code
HYGP9W2C58NXVEYN4TASCRPG,2023-09-19,99141,2024,160634.54,Gibbie Clerke,gclerkep@scientificamerican.com,5,Youngstown,Ford,4,4
HYGP9W2FZE0EXWW2549G5BE8,2024-04-13,44403,2024,149254.78,Trace Kilfoyle,tkilfoyleq@constantcontact.com,5,Memphis,Chrysler,4,4
HYGP9W2HJCMKVX3959ESNAHF,2023-08-30,78257,2023,90203.94,Johan Cruces,jcrucesr@linkedin.com,5,Ojiya,Lotus,2,3
HYGP9W2KE8AB9HCDJ3NTXCJH,2024-01-03,51941,2023,132693.04,Halie McCathie,hmccathies@php.net,2,Neyagawa,Honda,2,3
HYGP9W2PWRWYYFMPN5826FE6,2023-10-15,54971,2024,254980.86,Angus Masson,amassont@ebay.com,5,Newark,Mercury,4,4
HYGP9W2RJWJ9BS9KZGAZB8R3,2024-01-02,44403,2024,179362.25,Jan Perritt,jperrittu@redcross.org,2,Oakland,Cadillac,4,4
HYGP9W2VFWH6B0XPXNYTVXGQ,2023-06-10,47830,2024,171028.4,Karyn Coneybeare,kconeybearev@wunderground.com,2,Sacramento,Rambler,4,4
HYGP9W2Y1D1JEQ2Q188K9397,2023-07-01,94654,2024,195477.8,Lonni Clowney,lclowneyw@themeforest.net,2,Springfield,MINI,4,4
HYGP9W30JRAWET5THZ463CHS,2023-08-09,44403,2023,119705.32,Otis Moncaster,omoncasterx@home.pl,5,Ryōtsu-minato,Toyota,2,3
HYGP9W33AE26N6HF18B7CYTA,2024-02-04,86766,2024,153950.38,Sax Chsteney,schsteneyy@plala.or.jp,5,Harrisburg,Ford,4,4
HYGP9W37YT4KC4VNTP1AT0D1,2024-04-29,34272,2023,75523.08,Allsun Grzegorzewski,agrzegorzewskiz@squarespace.com,2,Leeds,Dodge,3,1
HYGP9W3AK9WXHEC9CKNA0T3K,2023-10-12,96997,2023,164542.57,Whitby Summerson,wsummerson10@techcrunch.com,5,Noshiro,Mitsubishi,2,3
HYGP9W3EH30Y1W6NFVPNXYHM,2024-02-04,23625,2023,78362.78,Raddie Riepl,rriepl11@indiegogo.com,5,Matsubara,Land Rover,2,3
HYGP9W3H4WR7Q9JWXTHCRXK3,2024-01-04,66059,2024,267267.97,Man Caplis,mcaplis12@mac.com,5,Billings,Volkswagen,4,4
HYGP9W3N7SJRSD86YW2J81TX,2023-08-31,68010,2023,76408.92,Obidiah Plover,oplover13@arizona.edu,5,Los Angeles,Toyota,4,4
HYGP9W3RYG5HRCBA9HRZSETS,2024-04-03,69097,2024,20145.42,Huey Mazzei,hmazzei14@livejournal.com,5,Grand Junction,Toyota,4,4
HYGP9W3TZS074A7N0HS0G0N3,2023-11-25,44403,2024,155188.05,Danice Glazzard,dglazzard15@gravatar.com,2,Tamana,Chevrolet,2,3
HYGP9W3XVYM2FN6T77028JW8,2024-03-28,1082,2023,133388.81,Susie McGow,smcgow16@nba.com,2,Kadoma,Honda,2,3
HYGP9W41DBA8QA4MV1DXTT7C,2024-03-04,46273,2023,157739.6,Delmar Barents,dbarents17@goodreads.com,7,Wilkes Barre,Chevrolet,4,4
HYGP9W44GM2Q2S4RV7KZ1DK2,2023-07-28,89529,2023,59705.23,Cindie Primrose,cprimrose18@ebay.com,2,Joliet,GMC,4,4
HYGP9W470MGS7MHV8MZ8BTXF,2023-05-30,23212,2023,55950.69,Sidney Prettejohns,sprettejohns19@discovery.com,5,Shisui,Nissan,2,3
HYGP9W4AGY38VGY7ZFM9W6ZA,2023-08-09,80673,2023,162655.77,Gerladina Elnough,gelnough1a@discovery.com,3,Pasadena,Dodge,4,4
HYGP9W4ESJK7P30VNABBCK24,2023-09-09,12185,2024,25010.4,Griff Simko,gsimko1b@over-blog.com,5,Narutochō-mitsuishi,Buick,2,3
HYGP9W4H1MX9KNYGJWS7PE1C,2023-12-09,27735,2024,33707.87,Darill Alben,dalben1c@about.com,5,Washington,Ford,4,4
HYGP9W4M5F1XSG9FFEQFYVAH,2023-08-12,85080,2023,242157.78,Lyon Ricco,lricco1d@forbes.com,5,Lynn,Mercedes-Benz,4,4
HYGP9W4RN3804W5T4N4CQ88T,2023-08-30,29291,2023,66714.72,Madeleine Fenck,mfenck1e@ebay.co.uk,2,Berlin,Mitsubishi,0,0
HYGP9W4VYV26E7BPJE0TRG7B,2024-04-07,44882,2023,165809.14,Jelene Upward,jupward1f@merriam-webster.com,2,Fort Wayne,Mazda,4,4
HYGP9W4YZWKMNJ2XD5HDF531,2024-04-02,75746,2024,102338.67,Octavius Drivers,odrivers1g@bandcamp.com,5,Wichita,Toyota,4,4
HYGP9W5161Q48VR1W9DVHCWR,2023-11-17,54889,2023,134166.03499999997,Daryl Filer,dfiler1h@nydailynews.com,2,San Antonio,Hyundai,4,4
HYGP9W54PF4HVDDK6Z5TKR6B,2023-10-21,7009,2024,277915.68,Durante Scolding,dscolding1i@sourceforge.net,7,Lawrenceville,Lincoln,4,4
HYGP9W58Z92D6G0VW90SJN2D,2024-03-14,5328,2024,139165.38,Meridith Tonbye,mtonbye1j@csmonitor.com,2,Portland,Pontiac,4,4
HYGP9W5B1F18CATACS3HG1TQ,2023-05-25,82710,2024,147507.67,Edouard Impey,eimpey1k@sciencedirect.com,5,Toride,Chevrolet,2,3
HYGP9W5EJ5YNJB6CRWFRSYKE,2024-04-30,4591,2024,134127.33,Edik Petters,epetters1l@taobao.com,5,Migrate,Ford,4,4
HYGP9W5HJ1FW0WVGFDNH1X87,2024-04-08,7236,2024,155101.41,Che Simunek,csimunek1m@msu.edu,5,Saint Paul,BMW,4,4
HYGP9W5MW9H71GXN18V7J7TC,2024-01-15,92386,2023,247156.35,Karie Billingham,kbillingham1n@etsy.com,7,Kiel,Kia,0,0
HYGP9W5RJ4YS3D9DG7PVN7S3,2023-05-11,51253,2024,240032.41,Woodman Foden,wfoden1o@vimeo.com,5,Fort Worth,Chevrolet,4,4
HYGP9W5VRRB3PFZ3NGCKT530,2024-02-11,72308,2024,122019.99,Stanton McOnie,smconie1p@ifeng.com,3,Church End,Lincoln,3,1
HYGP9W5YTZ88PNXEGBJT0RQB,2023-08-08,16802,2023,147004.92,Marijn von Nassau,mvon1q@istockphoto.com,5,Philadelphia,Mercedes-Benz,4,4
HYGP9W62NQ27YGQHDZN3EEEY,2023-12-04,66965,2024,147606.07,Frasquito Gurton,fgurton1r@dyndns.org,7,Las Vegas,Infiniti,4,4
HYGP9W655X2JRSC9Y5GTAMWP,2023-09-03,876,2024,153333.75,Remy Martindale,rmartindale1s@bbc.co.uk,2,Dallas,GMC,4,4
HYGP9W68A2GK3Z3JMJ6BHX2E,2024-03-01,86971,2023,256382.56,Boniface Infantino,binfantino1t@skyrock.com,5,Namioka,Dodge,2,3
HYGP9W6BGS0JK7RSMQ98Z88R,2023-05-04,450,2024,50698.44,Miller Lerhinan,mlerhinan1u@examiner.com,5,Ibara,GMC,2,3
HYGP9W6FHJ2QV3XTFT7TRDYF,2023-06-04,94486,2023,83457.96,Bree MacGebenay,bmacgebenay1v@drupal.org,2,Fussa,Buick,2,3
HYGP9W6J3HFQBXR115TPVXG1,2023-09-17,50051,2024,197298.93,Darius Roath,droath1w@state.tx.us,5,Goshogawara,Kia,2,3
HYGP9W6NABVF6Q9VT4WEPFPZ,2024-02-26,44403,2024,211731.92,Danny Proud,dproud1x@hostgator.com,5,Tamano,Chevrolet,2,3
HYGP9W6R2Y7D7XSS877H10W0,2024-02-13,8485,2023,45281.08,Kathi Wilkerson,kwilkerson1y@mayoclinic.com,2,Kariya,Nissan,2,3
HYGP9W6V9WY112GNS6XW5RWW,2024-04-24,31783,2023,184289.44,Melloney Dauncey,mdauncey1z@alexa.com,2,Newark,Buick,4,4
HYGP9W6YN8QK41SQRAJ2M1MM,2024-04-30,44403,2023,183653.26,Carola Dozdill,cdozdill20@princeton.edu,2,Chandler,Suzuki,4,4
HYGP9W71SW72CBBBGRT4AFM5,2023-10-17,95442,2024,217381.42,Sander Coe,scoe21@delicious.com,1,Fort Worth,Cadillac,4,4
HYGP9W7204Q9RMFGYHT8FFG7,2024-02-28,92654,2024,263698.44,Peterus Mynard,pmynard22@taobao.com,5,Hatogaya-honchō,Dodge,2,3
HYGP9W748JE66TQ1959CVPQV,2023-11-10,32013,2023,282472.31,Andrea Titchard,atitchard23@psu.edu,6,Honolulu,Lotus,4,4
HYGP9W75SG1WC4MXHNFYTMBJ,2024-01-09,926,2023,295758.63,Benton Trodden,btrodden24@baidu.com,5,Los Angeles,Suzuki,4,4
HYGP9W76G8NM4Q3103P511EY,2023-10-26,10210,2023,134166.03499999997,Pennie McLeman,pmcleman25@state.tx.us,5,Itami,Buick,2,3
HYGP9W773JPJKYYT3FW0B5X0,2023-07-03,25942,2024,159631.81,Levey Guinane,lguinane26@businessinsider.com,5,Kawasaki,Porsche,2,3
HYGP9W79YP56VJ812RSJAME8,2023-09-06,70411,2024,121546.95,Ynez Lefley,ylefley27@phoca.cz,2,Hino,Ford,2,3
HYGP9W7AVATJ75MCCN2W4113,2023-08-14,32695,2023,134166.03499999997,Elliot Cushe,ecushe28@imgur.com,5,Miami,GMC,4,4
HYGP9W7CZ1MD2TC9X1WYST2V,2023-05-03,54739,2023,149781.15,Mac Kinavan,mkinavan29@goo.ne.jp,5,Oklahoma City,Hyundai,4,4
HYGP9W7EH9RED0JJ0K4AEBA3,2024-01-16,83811,2024,53385.07,Dan Bourbon,dbourbon2a@und.de,5,Hannō,Ford,2,3
HYGP9W7H2HS08W1A283G73ZC,2024-03-07,93505,2024,186857.87,Giavani Niave,gniave2b@upenn.edu,5,Melbourne,Ford,4,4
HYGP9W7J73ST3WVS4X9PV502,2023-09-03,85832,2024,5370.14,Yulma Beadel,ybeadel2c@mapy.cz,5,Kingston,Cadillac,3,1
HYGP9W7KNBVBBG3738MZVCK5,2023-07-14,12534,2023,294605.1,Domingo Suttle,dsuttle2d@google.co.uk,5,Iwai,Mitsubishi,2,3
HYGP9W7NM7NG4ZTQM3C442VD,2023-07-20,61167,2024,34729.88,Goraud Whitmore,gwhitmore2e@altervista.org,5,Kanzaki,Subaru,2,3
HYGP9W7RXKAE96FQYN99440T,2024-02-06,46640,2024,223355.44,Legra Nelmes,lnelmes2f@archive.org,2,New Haven,Chevrolet,4,4
HYGP9W7TCA7FDG4VR7MNJCFV,2024-03-13,13814,2023,264883.42,Conchita Terbeck,cterbeck2g@studiopress.com,2,Zephyrhills,Lexus,4,4
HYGP9W7XFD1G2J642MYY6NED,2024-03-18,46077,2023,98334.89,Brander Davison,bdavison2h@nps.gov,5,Kansas City,Pontiac,4,4
HYGP9W7ZZ9R1PAXBABGKVM1Y,2023-10-27,63256,2024,3374.54,Libbi Samms,lsamms2i@rediff.com,2,Lawrenceville,Ford,4,4
HYGP9W81695XY34KEGDTDQFF,2023-07-06,37670,2024,74999.21,Sonja Dodgshon,sdodgshon2j@google.ru,2,Toledo,Mercedes-Benz,4,4
HYGP9W84XYJ38T7EQ8G8T4ZS,2023-09-01,80098,2023,134166.03499999997,Maynard Chestnutt,mchestnutt2k@baidu.com,5,Umi,Fiat,2,3
HYGP9W86RFQ3Q5PEBMVDFJJC,2023-06-10,17269,2024,180029.77,Toddie MacPeake,tmacpeake2l@histats.com,1,Fort Wayne,Mercedes-Benz,4,4
HYGP9W88NFBP1M4APG0M4CVA,2024-02-15,44403,2024,157934.99,Enrique Dinan,edinan2m@eventbrite.com,5,Kazuno,Audi,2,3
HYGP9W8AE2VN94AGHVVEB0HJ,2024-02-14,21775,2023,281773.12,Winthrop Lourenco,wlourenco2n@weather.com,5,Clearwater,Chevrolet,4,4
HYGP9W8D0ZKCWQJG75V65DN9,2023-06-20,93532,2024,294043.05,Ag Nield,anield2o@chronoengine.com,2,Cincinnati,Dodge,4,4
HYGP9W8FQ79JV067Q3M22T83,2024-03-10,64172,2023,89096.83,Jacky Corssen,jcorssen2p@behance.net,5,Newark,Volkswagen,4,4
HYGP9W8HNC3WJH3JZ4NG0P47,2023-07-24,11832,2023,120005.67,Helaina Brockbank,hbrockbank2q@unblog.com,2,Dallas,Eagle,4,4
HYGP9W8MMWVRXENF4D44PWD0,2023-09-15,79675,2023,226335.95,Hillyer Rochewell,hrochewell2r@unblog.fr,5,Hasaki,GMC,2,3
HYGP9W8PRXFYPT4BEZV2WV74,2023-05-16,81375,2024,184810.54,Rhodia Kirkam,rkirkam2s@imageshack.us,2,Montgomery,Buick,4,4
HYGP9W8R8SVZ3BVD48NS7GBD,2023-09-11,68651,2023,173113.9,Danica Blakeborough,dblakeborough2t@narod.ru,2,Kaminoyama,Ford,2,3
HYGP9W8VXAPVA9XMXZ46TD1K,2024-01-30,77717,2024,166041.98,Alexandr Ellinor,aellinor2u@google.com.br,5,Nara-shi,Lincoln,2,3
HYGP9W8XARZGY334H2N8PSMC,2023-10-14,95749,2024,45910.8,Clerkclaude Gwynn,cgwynn2v@usnews.com,5,Lawrenceville,Chrysler,4,4
HYGP9W8ZZ67HMXCFPZ46PD46,2023-06-28,79500,2023,37623.29,Tanitansy Cruickshanks,tcruickshanks2w@nifty.com,2,Milwaukee,Mercedes-Benz,4,4
HYGP9W91JVWYP4VRB0KDKHD7,2024-04-24,95680,2023,5788.94,Spence Habergham,shabergham2x@xrea.com,5,Yōkaichiba,Land Rover,2,3
HYGP9W94EPCJCKWGDNMMVZMW,2024-04-12,56757,2023,212969.53,Silvano Penson,spenson2y@linkedin.com,5,Ise,Isuzu,2,3
HYGP9W96P8N169D3HNFGS40D,2023-05-14,19796,2024,134166.03499999997,Haily Primak,hprimak2z@nifty.com,2,Furudate,Oldsmobile,2,3
HYGP9W99ZSJ8NPF0CGRDGNYE,2024-01-11,98065,2024,87357.19,Mignonne Bondley,mbondley30@google.com.au,2,Numazu,Mercedes-Benz,2,3
HYGP9W9BDJXDK7ZKXKXP490B,2023-08-25,44403,2024,71004.23,Clarance Curry,ccurry31@goo.ne.jp,5,Fort Worth,Plymouth,4,4
HYGP9W9DMRSFYPNZH0G6JNHT,2023-10-08,86161,2023,50145.08,Valenka Prudham,vprudham32@hugedomains.com,6,Akashi,Mercedes-Benz,2,3
HYGP9W9G4ZKPT1BG1W2MJX57,2024-04-20,88198,2023,91990.35,Elwyn Dallosso,edallosso33@twitter.com,5,Gyōda,Lincoln,2,3
HYGP9W9J5TN8N2KGDZ159NTM,2023-11-22,60792,2024,109581.67,Emlyn Goodyear,egoodyear34@sun.com,2,Matsubara,Porsche,2,3
HYGP9W9M2Y6B5WVP9KAG2AHE,2023-07-03,53630,2023,154864.49,Tara Olyff,tolyff35@msu.edu,2,Little Rock,Chevrolet,4,4
HYGP9W9Q0T9SF9JVDSZCV9EQ,2023-12-12,16700,2024,75254.07,Arlette Wyeld,awyeld36@goodreads.com,2,Komatsushimachō,Mercury,2,3
HYGP9W9T8QRC8VJZR7JBAY9A,2023-11-26,51313,2023,82691.52,Terrel Steere,tsteere37@addthis.com,5,Pasadena,Subaru,4,4
HYGP9W9XHAWPZ9PRB5YRDGKW,2023-07-16,98444,2023,42023.93,Christian Gabbitus,cgabbitus38@cloudflare.com,5,Syracuse,Hummer,4,4
HYGP9W9ZYT25FHBD8WKG9RJ4,2024-03-12,44403,2023,221993.02,Tore Glanton,tglanton39@posterous.com,5,Yanagawa,Chevrolet,2,3
HYGP9WA1A0MK7GJP24HNCJB4,2023-10-22,4507,2024,59832.27,Rhianon Loudon,rloudon3a@gizmodo.com,2,Iwade,Dodge,2,3
HYGP9WA380P98EBJZYTHBVQ5,2024-03-06,17716,2024,114583.91,Karlan Schimon,kschimon3b@microsoft.com,5,Koga,Mercedes-Benz,2,3
HYGP9WA6X4YEMA26WGDCJDR3,2024-03-17,90195,2023,134166.03499999997,Dennis Kyngdon,dkyngdon3c@independent.co.uk,5,Suibara,Ford,2,3
HYGP9WA8BNK6AB125N8EPFN3,2024-04-03,52245,2024,134166.03499999997,Viva Perree,vperree3d@elegantthemes.com,2,Saint Petersburg,Chrysler,4,4
HYGP9WAA743D19JZY4JQZHJ1,2023-06-09,32174,2024,177513.01,Gayelord Brea,gbrea3e@ibm.com,4,Nishiwaki,Porsche,2,3
HYGP9WACFPVFG6M7TND4HHPY,2023-10-31,29808,2023,105720.14,Christi Stilling,cstilling3f@usa.gov,2,Hitachi-Naka,Mitsubishi,2,3
HYGP9WAFS70N5K9KQ07105TZ,2023-11-15,51840,2023,299884.33,Frieda Benoit,fbenoit3g@jugem.jp,2,Hadano,Cadillac,2,3
HYGP9WAHR498W80PY3N4C0W0,2024-03-18,84008,2024,117698.63,Brannon Chicotti,bchicotti3h@wisc.edu,5,Las Vegas,Chevrolet,4,4
HYGP9WAKE7RSXZYV0XTFHEEY,2023-12-06,44403,2023,248567.11,Farlie Cayser,fcayser3i@a8.net,5,Independence,Volkswagen,4,4
HYGP9WANFNG418ASV2CQDX3A,2024-01-15,38318,2023,47580.19,Belvia Grigs,bgrigs3j@cargocollective.com,6,Charleston,Isuzu,4,4
HYGP9WARKFDFHA108C4SRK0J,2023-06-24,87438,2023,59651.44,Brady Lillyman,blillyman3k@artisteer.com,5,New York City,Audi,4,4
HYGP9WAT9CA4G3DZB2MVCMQJ,2023-11-18,7466,2023,89881.38,Kelcey Foyle,kfoyle3l@prweb.com,2,Charlotte,Chevrolet,4,4
HYGP9WAX7BCZ3880J441YQVT,2023-05-02,76153,2023,131395.87,Alonzo Widdicombe,awiddicombe3m@columbia.edu,5,Fort Worth,Mazda,4,4
HYGP9WAZCHG0BTVZDWWFG5SE,2023-08-27,14786,2024,153148.25,Zebulon Blinkhorn,zblinkhorn3n@newsvine.com,5,Nobeoka,Ford,2,3
HYGP9WB1TFGV0N467W0PY2CP,2023-10-04,99374,2024,134166.03499999997,Miles Kennet,mkennet3o@bbb.org,5,Nagoya-shi,Toyota,2,3
HYGP9WB3H5MJG3JXP5N0PNPR,2023-06-04,48907,2024,74302.34,Cthrine Pestridge,cpestridge3p@biblegateway.com,2,Clearwater,Ford,4,4
HYGP9WB6ET1D4DQJVA3QKZ3T,2023-05-03,380,2023,4542.98,Saxe Georgel,sgeorgel3q@domainmarket.com,3,Mino,Mazda,2,3
HYGP9WB8SWZFVPS8M1P026DY,2023-12-20,74964,2024,178322.05,Anthony Jambrozek,ajambrozek3r@gov.uk,5,Karlsruhe,Buick,0,0
HYGP9WBAM9PWXGE42ESK0S8N,2023-11-04,70899,2024,232969.12,Reginauld Trevenu,rtrevenu3s@ask.com,5,Yokkaichi,Saab,2,3
HYGP9WBDAKCCK04Z6VM4B6YG,2023-09-01,31900,2023,151882.35,Brandon Kalewe,bkalewe3t@bing.com,5,Camden,Chevrolet,4,4
HYGP9WBFWJ1940VZXN2JEJFY,2023-10-27,67303,2023,238151.4,Janette Simakov,jsimakov3u@si.edu,6,Roanoke,Acura,4,4
HYGP9WBK9RYQQJJS1V7CAJJ4,2023-06-24,3361,2024,169752.07,Mitch Maleney,mmaleney3v@soundcloud.com,5,Kansas City,Mercury,4,4
HYGP9WBNE33GSEY3QZ4PBBN5,2023-05-01,52252,2023,221533.92,Tann Grigoliis,tgrigoliis3w@who.int,3,Ishinomaki,Mercury,2,3
HYGP9WBQQV7GCQ712XDB5HGE,2023-08-06,84549,2023,134166.03499999997,Hubey Ortsmann,hortsmann3x@theglobeandmail.com,7,Saint Paul,Toyota,4,4
HYGP9WBSXB8XTRQMC333K4PR,2024-01-18,28848,2024,223166.36,Shayne Roscam,sroscam3y@hc360.com,5,Mesquite,BMW,4,4
HYGP9WBVM9J4GVS4TSTCX5RP,2023-05-28,21347,2024,214056.99,Ellsworth Overstone,eoverstone3z@symantec.com,4,Fujishiro,Kia,2,3
HYGP9WBX7YQDCESF51G9KGXH,2023-11-08,75019,2024,251823.88,Cesya Blizard,cblizard40@zimbio.com,2,Lansing,Chrysler,4,4
HYGP9WBZ0FC0CF28MQGD8WAY,2023-06-01,9860,2024,127197.19,Giana Condict,gcondict41@pcworld.com,2,Shirone,Infiniti,2,3
HYGP9WC1QM2ZQZ24V8AN23QH,2023-09-21,21181,2024,32263.59,Karlene OFogerty,kofogerty42@miibeian.gov.cn,0,Los Angeles,Chevrolet,4,4
HYGP9WC3A975H54VJ76Y70H8,2023-06-17,537,2023,66605.07,Melanie Piesold,mpiesold43@psu.edu,7,Denver,Mitsubishi,4,4
HYGP9WC6Z91K21TB3MMS1G6H,2024-04-17,25308,2023,165675.05,Graehme Seakin,gseakin44@feedburner.com,5,Nihommatsu,BMW,2,3
HYGP9WC81RM2ZM9MD8R2WZC3,2023-05-09,44403,2024,134166.03499999997,Olivero Blencowe,oblencowe45@phoca.cz,5,Sacramento,Audi,4,4
HYGP9WCAWRGT8D3746Z4DZH4,2023-11-23,43100,2024,143111.31,Nananne MQuhan,nmquhan46@accuweather.com,2,Numazu,Chevrolet,2,3
HYGP9WCC21G8HDGM04N3G6F0,2023-11-16,26941,2023,219685.42,Miltie Glowinski,mglowinski47@xinhuanet.com,5,Tsubata,Maybach,2,3
HYGP9WCEQA41MP4G46HAH6BZ,2023-11-21,26200,2024,134166.03499999997,Aindrea Vuittet,avuittet48@dmoz.org,2,Charleston,Lincoln,4,4
HYGP9WCGB8GQZQ10GTF5X4GN,2023-10-06,93728,2024,39199.68,Anderson Hasnip,ahasnip49@sciencedaily.com,5,Normanton,GMC,3,1
HYGP9WCJ69Y1ZZMG0CC5WHEG,2024-03-02,30300,2023,181294.69,Monti Floris,mfloris4a@statcounter.com,5,Seattle,Kia,4,4
HYGP9WCM2XSNN74ZSKZ0DJ21,2023-09-13,19902,2023,212526.2,Pierre Dumingos,pdumingos4b@blogger.com,5,Kansas City,Saab,4,4
HYGP9WCQW3WH9THA7CJHQ60B,2024-03-04,21760,2023,133783.75,Angus Hubball,ahubball4c@freewebs.com,5,Tsubata,Toyota,2,3
HYGP9WCST3FW3VC0Q3CC80GH,2023-12-05,44403,2023,134166.03499999997,Lewie Penreth,lpenreth4d@mysql.com,5,Chicago,Alfa Romeo,4,4
HYGP9WCVYTNGYY9DCS936XGZ,2023-09-25,79023,2024,45906.72,Izabel McOwen,imcowen4e@sogou.com,4,Arlington,Toyota,4,4
HYGP9WCXYJCEEKP1AYT7THEM,2024-04-25,27371,2024,247214.63,Carmelle Lawly,clawly4f@chicagotribune.com,2,Okaya,Jaguar,2,3
HYGP9WCZKB2MEZRRVDW1NDPP,2023-07-11,79186,2024,128457.33,Oralia Vowels,ovowels4g@spiegel.de,2,Oklahoma City,Buick,4,4
HYGP9WD16M6PMXYGM3G345KQ,2024-01-07,75809,2023,183560.94,Murry Vynehall,mvynehall4h@tinyurl.com,5,Shōbara,Infiniti,2,3
HYGP9WD31DVJWADFFS4TX7TB,2023-05-28,78596,2024,134166.03499999997,Thorny Castro,tcastro4i@washington.edu,5,Takayama,GMC,2,3
HYGP9WD5QZ8DXRV299A1904H,2024-02-08,59387,2024,198311.86,Bil Macura,bmacura4j@census.gov,5,Brooklyn,Honda,4,4
HYGP9WD7XRA0N986CZVFX9T6,2023-06-14,42032,2023,178690.1,Berry Smalls,bsmalls4k@itwoi.jp,2,Miyata,Hyundai,2,3
HYGP9WD9ETE1AEFDKCEEZ8Y7,2023-12-19,44403,2023,125316.64,Maggi Bayston,mbayston4l@t-online.de,2,Sterling,Ford,4,4
HYGP9WDBR3V55MXCFT5PXS6S,2024-01-28,90510,2023,257840.67,Kyla Frome,kfrome4m@cloudflare.com,2,Minneapolis,Chevrolet,4,4
